pid,fnm,lnm,hght,n,bx,by,bz,rt,rx,ry,rz,rv,rvx,rvy,rvz,mnv,mnvt,mnvx,mnvy,mnvz,mxv,mxvt,mxvx,mxvy,mxvz,ta1t,ta1x,ta1y,ta1z,ta2t,ta2x,ta2y,ta2z,at1t,at1x,at1y,at1z,at2t,at2x,at2y,at2z,lr1t,lr1x,lr1y,lr1z,lr2t,lr2x,lr2y,lr2z,rl1t,rl1x,rl1y,rl1z,rl2t,rl2x,rl2y,rl2z,pl,spl,plr
202390,Gary,Neal,NA,337,1.18090171503483,-0.396860217655773,2.87274972100261,0.474,0.056683144752577,-0.0681014642320582,8.91707758435369,14.7649664053991,-10.5660137171055,1.0149477822787,10.2632094435293,10.2593565003577,0.469,0.108967490845693,-0.0731265580147251,8.86577283345766,18.6716346893494,0.249,0.836065858003055,-0.0708939646813771,5.84463908398556,0.165,0.639813112971191,-0.0490547467952968,4.38057292850851,NA,NA,NA,NA,0.319,0.984591385383284,-0.119674443531752,7.0890537175961,NA,NA,NA,NA,0.364,0.883432113857762,-0.133128936194636,7.71956038222957,NA,NA,NA,NA,0.186,0.657861306225514,-0.0451811507845897,4.71210699094608,NA,NA,NA,NA,6.54927935017784,6.15677261488537,1.06375202721366
203096,Jared,Sullinger,NA,336,-0.564660518723872,0.119087783195145,3.45119287722438,0.401,-0.0369354374036626,0.0271034598026548,8.57333409476371,16.0598966573543,-8.52061281465954,1.60599778176027,13.5181436977323,6.90684373879868,0.351,0.251007834992802,-0.00827869076373184,8.06738461756416,22.0580016517546,0.062,-0.733655067956357,0.145075491085291,4.43831434380037,0.048,-0.746122300127773,0.14243136043259,4.13579822199963,NA,NA,NA,NA,0.266,0.379802336574273,-0.0522157082554928,7.33719016781266,NA,NA,NA,NA,0.239,0.359901585336676,-0.0646620031670742,7.08568320907716,0.117,-0.381526329783603,0.10977867211561,5.56112184913159,0.064,-0.729817301059957,0.145143778238626,4.48239287049066,0.282,0.376143585873623,-0.04246944924339,7.48268910413605,5.51155580759624,5.15007626444693,1.07018916314788
2550,Kirk,Hinrich,76,335,0.386335563395255,-0.29490086607906,2.36575739563405,0.445,-0.458344934062984,-0.0355086013337914,7.18042160678723,12.693948227593,-3.40893117488105,-0.0566985072142298,12.2275220355155,7.45496036433434,0.125,-0.258201168956228,-0.168981139453188,3.41540829261873,13.1569777009899,0.257,-0.212628089016201,-0.0538074351388303,4.90154072867958,0.17,-0.325292833571009,-0.106845484000599,3.82797404892859,NA,NA,NA,NA,0.297,-0.178527042360794,-0.0437390310320358,5.42030606175013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.373,-0.287007259833206,-0.0308817266590082,6.31892484077388,NA,NA,NA,NA,5.0556375304659404,4.89507517367765,1.03280079489927
2734,Devin,Harris,75,330,0.137211437518993,0.383759508720087,2.82452226468818,0.467,0.0222923969982933,-0.0193354064895511,8.24237387797251,11.6071260519151,-6.8657094549015,2.27835953977186,9.07725105268397,5.53409042429375,0.391,0.435958978750914,-0.118851260435402,7.67496505268489,21.9572548281537,0.111,-0.35104449485082,0.554279223854295,4.1387752905593604,0.119,-0.354369656898596,0.548580905606669,4.31371643231826,NA,NA,NA,NA,0.308,0.599781945519915,-0.0644236109662474,7.12297282010851,NA,NA,NA,NA,0.369,0.509255337729137,-0.124903907122681,7.54918212679785,NA,NA,NA,NA,0.096,-0.328625517658702,0.558453039065024,3.81231608454547,NA,NA,NA,NA,6.11209417873126,5.43404158983989,1.12477868961458
200782,P.J.,Tucker,77,325,0.788423114823179,-0.162268461679983,3.69325984274357,0.568,-0.13889588748428,-0.00453527275480099,8.51985305833497,12.2895157411366,-3.1070234563858,-0.975312931693831,11.8502053601777,13.0229074240766,0.449,0.0579343835479339,0.146325277195807,7.01055161143175,13.1033752526237,0.426,0.067797907526543,0.177685809512366,6.70984730427213,0.308,0.040399840155088,0.303765882031231,5.24485510755007,NA,NA,NA,NA,0.415,0.0688620285360399,0.192705338647155,6.56576418438871,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.278,0.0486747954751443,0.311281123886427,4.93139913581351,NA,NA,NA,NA,5.36660211549601,4.9173979257044,1.09134997748372
977,Kobe,Bryant,78,323,-0.636462447803675,0.230496502689589,2.84029339737422,0.419,-0.031556145268415,-0.0281246670571017,8.60406270753525,13.9981946043616,-7.29329328350854,0.587361360871514,11.9336638084899,10.1305399478653,0.344,0.3234243768269,-0.0586963495095634,7.7819533193829,19.0228447540912,0.068,-1.00880693301619,0.454085961903658,3.87265619171823,0.088,-1.03752902821273,0.488468673872776,4.24592090850296,NA,NA,NA,NA,0.298,0.367876767381849,-0.041184102665864,7.30000498782301,NA,NA,NA,NA,0.334,0.341104238718695,-0.0596757664728283,7.68049790496919,NA,NA,NA,NA,0.098,-1.02966116066515,0.493270147207608,4.41954764992067,NA,NA,NA,NA,6.3479886568934,5.80119239510656,1.09425583992837
202362,Lance,Stephenson,78,323,-0.719179860504662,-0.611772244838412,3.48370938983531,0.403,-0.0849516829639853,-0.0921425861861203,8.14001731582496,16.4056576833427,-8.51430061475252,0.677925682399882,14.0068806603679,7.47379999694253,0.33,0.313888384521343,-0.154684558358107,7.44639879232321,15.9661212877395,0.111,-0.663711730594778,-0.111974104589115,5.0134388267428,0.063,-0.876297405077422,-0.207388736466484,4.26694364578538,NA,NA,NA,NA,0.273,0.378453913274247,-0.181073421722203,6.96694356988498,NA,NA,NA,NA,0.292,0.357334664183451,-0.189417342748033,7.14399295221741,0.092,-0.811208627791276,-0.134203266325979,4.71112635329327,0.154,-0.191987793588187,-0.08628413130065,5.68475044490685,0.228,0.252484320603128,-0.149251836736165,6.5758490286112,5.23393481543642,4.72794499386062,1.10702108891555
203544,Pero,Antic,83,317,-0.115403496032886,0.242105155848775,3.54973197058807,0.444,0.0330454740969164,0.0123627407896454,8.27990030549311,15.7401227055726,-8.21838982185196,-0.84272977365584,13.39773630324,7.11374933680275,0.286,0.432369266774453,0.145493024040801,6.72080107922764,15.0654694885936,0.154,-0.381179016225693,0.761769500721652,5.2839659319183,0.11,-0.533046179176148,0.780265787877566,4.63894785272088,NA,NA,NA,NA,0.324,0.481211115694146,0.0539758015767027,7.00619358162947,NA,NA,NA,NA,0.365,0.436152529604585,0.0346930292042951,7.37304019559383,NA,NA,NA,NA,0.128,-0.508436273294767,0.802875646727416,4.8979656115425,0.266,0.368553505023806,0.223620187162566,6.57669434714421,5.45920751026255,4.73807040371374,1.15220058908022
203482,Kelly,Olynyk,83,314,0.473052045989848,0.235935180586164,3.83692384189769,0.457,-0.0408817945252776,-0.0672216397717252,8.22680080325897,13.3199178524604,-9.4819902119918,0.036075627971352,9.35471922427666,5.45440555542686,0.384,0.432191430126147,-0.0747060337839396,7.63305636455996,15.8135448241037,0.189,-0.0452769068171758,0.227217379461971,5.61540587909808,0.145,-0.162691451364261,0.298040945122451,4.96559226027797,NA,NA,NA,NA,0.339,0.521824368337066,-0.0651116748543661,7.33185155483917,NA,NA,NA,NA,0.368,0.483439674335284,-0.0771209259810633,7.54353139294632,0.085,0.028420426422528,0.308248364867765,4.29619591788197,0.102,-0.0512902431103728,0.310134083285692,4.47401748578765,0.324,0.506692661131992,-0.046383920795402,7.19064830181474,4.96018151546741,4.43024285858537,1.11961842133667
201573,Jerryd,Bayless,75,310,-0.0315435374530368,-0.382448958386353,2.76645489744751,0.469,-0.0617073163828373,-0.085563902837106,8.78596341184598,11.2910698561138,-6.55670737026991,0.972952906556634,9.14063507629058,Inf,NA,NA,NA,NA,18.4543433916504,0.237,-1.69353210050238e-4,0.0376482851512337,5.77665337681915,0.133,-0.314696847083651,0.0835334944578266,4.04919588574591,NA,NA,NA,NA,0.341,0.348485042227168,-0.133114364004384,7.49066801142143,NA,NA,NA,NA,0.364,0.329361596778453,-0.136556371691713,7.75725251104391,NA,NA,NA,NA,0.17,-0.272980043961537,0.115070003081057,4.59308991760136,NA,NA,NA,NA,6.33798905636282,6.02690080760281,1.05161661999938
