pid,fnm,lnm,hght,n,bx,by,bz,rt,rx,ry,rz,rv,rvx,rvy,rvz,mnv,mnvt,mnvx,mnvy,mnvz,mxv,mxvt,mxvx,mxvy,mxvz,ta1t,ta1x,ta1y,ta1z,ta2t,ta2x,ta2y,ta2z,at1t,at1x,at1y,at1z,at2t,at2x,at2y,at2z,lr1t,lr1x,lr1y,lr1z,lr2t,lr2x,lr2y,lr2z,rl1t,rl1x,rl1y,rl1z,rl2t,rl2x,rl2y,rl2z,pl,spl,plr
201935,James,Harden,77,1138,-0.147800172047451,0.124373809418745,3.32171507619662,0.382,-0.00773312919065505,0.00875849879133931,8.33991393316699,14.3385612409372,-7.43477244167261,-0.501848390823888,12.2501691985572,9.86103055590703,0.31,0.328835292633292,0.0593911008716089,7.55245293073707,20.0857111111316,0.118,-0.408110932808036,-0.0826020820759218,4.91826287784359,0.075,-0.516905410429092,-0.0627665240413595,4.10843247475279,NA,NA,NA,NA,0.281,0.355912671204789,0.0763148572038231,7.26103064625463,NA,NA,NA,NA,0.112,-0.433152175890129,-0.0830640775999975,4.79784209061499,NA,NA,NA,NA,0.271,0.352838246020293,0.0778819246583184,7.15444698999955,NA,NA,NA,NA,5.38985480460191,5.02148438657782,1.07335886954239
203081,Damian,Lillard,74,1114,-0.141532566863316,-0.184058974547335,2.97569324239726,0.375,0.00887583744213705,-0.0181297063116382,7.7977293289601,14.9647059436048,-7.71760855092184,0.140064866317582,12.820348047792,10.2031691407696,0.308,0.300704581303232,0.0097892988666691,7.04749862652323,18.744910181355,0.117,-0.378640979746705,0.166513622097475,4.51486470270731,0.074,-0.452227417677873,0.0739048671270872,3.75889045961876,NA,NA,NA,NA,0.286,0.314124843798121,0.0299334118375123,6.82075683935838,NA,NA,NA,NA,0.367,0.0683003917397011,-0.0187291976372205,7.69624944850473,NA,NA,NA,NA,0.161,-0.227390886365137,0.209472234918934,5.27866618364934,NA,NA,NA,NA,5.15925039032394,4.82723391087041,1.06877986142454
2772,Trevor,Ariza,80,942,0.376642892194785,0.278908590453417,3.17459628462389,0.441,-0.088304176519386,-0.0079599858438719091,8.56235087797781,14.8945239365658,-6.7111293064386,0.389121164793345,13.2912065459951,12.6740197523158,0.375,0.217388683250714,-0.00563186953591353,7.71192933016033,15.7867095944271,0.235,0.0885752589790321,0.142668724528449,5.74069111267098,0.133,-0.223728272269323,0.269678764603086,4.25625028916704,NA,NA,NA,NA,0.315,0.304875456502807,0.0323607134239535,6.94083636330597,NA,NA,NA,NA,0.04,0.113576687657762,0.275706182529607,3.38958379359578,0.371,0.228036968431879,-0.00394417490191074,7.66123167820425,0.083,-0.112818319681928,0.27648178146378,3.73079154737712,NA,NA,NA,NA,5.73229018501509,5.41538261944427,1.05851988452911
202083,Wesley,Matthews,76,920,-0.759791416660494,0.136781169864774,3.17984156123902,0.369,0.0248169175141489,-0.0230853922609033,7.43181411932561,15.0241835391141,-6.53710507306998,0.0820869814945612,13.5272173786074,8.24726664817454,0.285,0.220867586489589,0.0092604483711662,6.54850823048179,18.0455018922716,0.105,-0.982991240639132,0.347773995900468,4.31623343987534,0.09,-0.992749141118538,0.334880243676762,4.04781423859391,NA,NA,NA,NA,0.304,0.236766747656076,-0.0053024521273673,6.70790808486307,NA,NA,NA,NA,0.362,0.0684143516249258,-0.023407790988073,7.33825184785913,NA,NA,NA,NA,0.12,-0.951056904554162,0.352144477693318,4.5840047975013,NA,NA,NA,NA,4.78983939499527,4.32671216866382,1.10703906529435
200768,Kyle,Lowry,72,886,-0.0180021638186044,0.184239433001065,3.26470807541519,0.39,-9.42255271313058e-4,0.0157971310253909,7.95828951371827,14.2288063416258,-8.06282622250842,0.167752270182102,11.7226968906037,7.6575471063176,0.322,0.362728147326805,0.0213536080033693,7.33129140274869,18.5470078482819,0.122,-0.252486255323552,0.536711636703264,4.92897265395328,0.079,-0.357908703982647,0.532393039990385,4.16735919641937,NA,NA,NA,NA,0.283,0.41446127673617,0.0607141684420061,7.01428550431472,NA,NA,NA,NA,0.359,0.210815966955494,0.0126035305239802,7.63267208195737,NA,NA,NA,NA,0.101,-0.326182510483193,0.549003134280876,4.54355423444663,NA,NA,NA,NA,5.14099286840847,4.69663396141936,1.09461220751698
2594,Kyle,Korver,79,885,0.238435093620944,0.446859562099086,3.19012181712166,0.415,-0.0235733523868484,0.0165816047021354,8.40970133529285,14.2600001924455,-7.68474009346247,-1.84228830499866,11.8700610354683,11.4657973679923,0.371,0.242173459500617,0.0994286366548604,7.89909411636958,18.3726072392733,0.196,0.0863634932108273,0.290821079817848,5.37290411236252,0.106,-0.178640617043919,0.295812301030867,3.86175980334912,NA,NA,NA,NA,0.298,0.396779918847032,0.226907146361083,7.03521290185178,NA,NA,NA,NA,0.148,-0.10745801118156,0.289463209157677,4.51235571411764,NA,NA,NA,NA,0.192,0.0682076414023468,0.290859339460996,5.29942259763817,NA,NA,NA,NA,5.61566954515421,5.24383427397485,1.07090904322144
201567,Kevin,Love,80,824,-0.929625759805553,0.324480975848335,3.4071143370866,0.383,-0.0225159991606237,-0.0144199659941626,8.19918430126323,14.2382411105443,-7.38247306064992,-0.0500833774130047,12.1747317459597,8.47593050706407,0.309,0.230060581366599,-0.0139802570333027,7.46230037599644,19.1233692185992,0.117,-0.896007016341316,0.399246839164088,5.07174966996497,0.0590000000000001,-1.11346694278654,0.459117573410643,4.08388425056219,NA,NA,NA,NA,0.312,0.230497857805903,-0.0145142603357532,7.48773687353033,NA,NA,NA,NA,0.326,0.222246222547964,-0.0155103584708313,7.6078442829642,NA,NA,NA,NA,0.0670000000000001,-1.10770896738741,0.461744619064924,4.19447432461387,0.295,0.218707715964569,-0.00945792454872171,7.34288027312847,5.23769277840915,4.888929996206,1.07133724198829
2747,JR,Smith,78,798,-0.746278470835311,-0.30157752214293,3.3367830208538,0.393,0.00771637447745827,-0.00486892446230017,8.40660544700563,13.2444913894302,-6.43481066460629,0.866512875523181,11.5437827124349,7.14928607475506,0.318,0.273640081458087,-0.0460956220678634,7.71723321739609,21.8572183596217,0.119,-0.799158302146109,0.113623643297093,5.06730250352134,0.066,-0.98157679409557,5.31760054956174e-4,4.01555625788671,NA,NA,NA,NA,0.31,0.276178939246817,-0.0469450385164151,7.65989740532788,NA,NA,NA,NA,0.308,0.276068298561915,-0.0469922958767268,7.64543769971343,NA,NA,NA,NA,0.152,-0.581985674396108,0.13532877779243,5.75947935518163,NA,NA,NA,NA,5.52145167928077,5.13416435765431,1.07543337038852
201980,Danny,Green,78,779,0.110522783519101,0.316971895272525,3.49369560826222,0.387,-0.0651935720334622,0.00362945058416106,8.39728722040572,13.0791337209008,-6.49711773647143,-1.01888892807407,11.3054440585003,6.48539450428486,0.315,0.147903873422675,0.0982491644678182,7.75930756007451,20.4924111248719,0.116,-0.339823945708119,0.348031139273279,5.055696928194,0.139,-0.353338574916546,0.338211332879444,5.51870460057606,NA,NA,NA,NA,0.323,0.15030889114746,0.0849550345649695,7.81153388580863,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.093,-0.299995003742311,0.351343687530218,4.59265854564574,NA,NA,NA,NA,5.14869922441456,4.91673371497135,1.04717878227509
201587,Nicolas,Batum,81,750,-0.235457144688491,0.278052933634494,3.43924380292683,0.481,-0.0348616482824605,-0.0160945055032806,8.89289912989043,13.2759549283984,-7.50774233067356,-0.414240886168849,10.9413522402537,9.49304238406156,0.404,0.368213618330978,0.00899354114847936,8.10050554877262,15.6307645030154,0.2,-0.229089562912647,0.372159082463357,5.68083665108867,0.12,-0.530163023210955,0.49547632083254,4.49682285357502,NA,NA,NA,NA,0.352,0.448911945462261,0.0407748978422988,7.58487507204378,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.114,-0.52900589405867,0.495993029432192,4.40732412726533,NA,NA,NA,NA,5.92526882802189,5.46526464999162,1.08416869218419
101123,Gerald,Green,78,748,0.510424777403718,-0.522784202762361,3.26375899309356,0.48,0.0192303428585829,-0.0114673158655891,8.76974657730034,16.3533617914616,-9.40498703154329,0.0622406194740257,13.3781458701954,10.998529220176,0.402,0.526990134755169,-0.0140397663458862,7.82165034405456,17.8290169058419,0.207,0.0170736168752043,0.074476041759633,5.15826451005768,0.152,-0.174515649586532,0.0224083617247451,4.26614076616548,NA,NA,NA,NA,0.352,0.626284041085805,-0.00375099907559439,7.24358131632757,NA,NA,NA,NA,0.416,0.46846889610612,-0.0143931211496929,7.97626613216984,NA,NA,NA,NA,0.232,0.149503227178056,0.0785452470702244,5.59470487990588,NA,NA,NA,NA,6.27169329394243,5.55145172083781,1.1297393203297
